ID	alpha	beta	delta0
s0	1	1	0.5
s1	1	1	0.5
s2	1	1	0.5
s3	9.56493506493507	28.9285714285714	0.5
s4	3.5	4	0.5
s5	7.90361445783132	17.9277108433735	0.5
s6	4	3	0.5
s7	10.4032258064516	14.8387096774194	0.5
s8	1	1	0.5
s9	1	1	0.5
s10	2	4	0.5
s11	1	1	0.5
s12	1	1	0.5
s13	1	1	0.5
s14	1	1	0.5
s15	1	1	0.5
s16	1	1	0.5
s17	1	1	0.5
s18	1	1	0.5
s19	7.55102040816327	7.10204081632653	0.5
s20	1	1	0.5
s21	5.5	4	0.5
s22	6.45454545454545	10.2727272727273	0.5
s23	5.11111111111111	9.05555555555556	0.5
s24	1	1	0.5
s25	1	1	0.5
s26	1	1	0.5
s27	2	15	0.5
s28	7.26315789473684	4.89473684210526	0.5
s29	3.5	8	0.5
s30	4.35135135135135	6.64864864864865	0.5
s31	1	1	0.5
s32	1	1	0.5
s33	7.7741935483871	13.3225806451613	0.5
s34	1	1	0.5
s35	1	1	0.5
s36	1	1	0.5
s37	1	1	0.5
s38	1	1	0.5
s39	3.92307692307692	8.07692307692308	0.5
s40	1	1	0.5
s41	1	1	0.5
s42	1	1	0.5
s43	1	1	0.5
s44	4	6.5	0.5
s45	1	1	0.5
s46	1	1	0.5
s47	1	1	0.5
s48	1	1	0.5
s49	1	1	0.5
s50	1	1	0.5
s51	13	6	0.5
s52	1	1	0.5
s53	3.8	5.25	0.5
s54	1	1	0.5
s55	1	1	0.5
s56	1	1	0.5
s57	1	1	0.5
s58	1	1	0.5
s59	1	1	0.5
s60	1	1	0.5
s61	1	1	0.5
s62	2	4	0.5
s63	1	1	0.5
s64	1	1	0.5
s65	1	1	0.5
s66	1	1	0.5
s67	1	1	0.5
s68	6.79166666666667	8	0.5
s69	3	5.5	0.5
s70	1	1	0.5
s71	1	1	0.5
s72	1	1	0.5
s73	1	1	0.5
s74	15	7.5	0.5
s75	2	2	0.5
s76	1	1	0.5
s77	1	1	0.5
s78	2	11	0.5
s79	6.4375	7.5625	0.5
s80	4	7	0.5
s81	1	1	0.5
s82	7.203125	12.78125	0.5
s83	4.6	5.73333333333333	0.5
s84	6	4.5	0.5
s85	1	1	0.5
s86	1	1	0.5
s87	2.8	3.8	0.5
s88	2	6.5	0.5
s89	1	1	0.5
s90	1	1	0.5
s91	1	1	0.5
s92	1	1	0.5
s93	1	1	0.5
s94	1	1	0.5
s95	15	3	0.5
s96	4	10.5	0.5
s97	1	1	0.5
s98	1	1	0.5
s99	5	4.5	0.5
s100	1	1	0.5
s101	1	1	0.5
s102	1	1	0.5
s103	1	1	0.5
s104	1	1	0.5
s105	1	1	0.5
s106	1	1	0.5
s107	1	1	0.5
s108	1	1	0.5
s109	1	1	0.5
s110	7.64285714285714	9.75	0.5
s111	1	1	0.5
s112	4.5	3.5	0.5
s113	1	1	0.5
s114	1	1	0.5
s115	11.8828828828829	11.6126126126126	0.5
s116	1	1	0.5
s117	1	1	0.5
s118	6	6	0.5
s119	1	1	0.5
s120	16	8	0.5
s121	1	1	0.5
s122	1	1	0.5
s123	8.21052631578947	5.57894736842105	0.5
s124	7.41860465116279	8.3953488372093	0.5
s125	7.58536585365854	8.31707317073171	0.5
s126	45.625	77.0648148148148	0.5
s127	9.14117647058823	10.2352941176471	0.5
s128	1	1	0.5
s129	1	1	0.5
s130	1	1	0.5
s131	2.5	2	0.5
s132	4.54545454545454	6.27272727272727	0.5
s133	1	1	0.5
s134	3	2.5	0.5
s135	1	1	0.5
s136	2	2	0.5
s137	6.44444444444444	10.1111111111111	0.5
s138	1	1	0.5
s139	1	1	0.5
s140	1	1	0.5
s141	10.5	4.5	0.5
s142	1	1	0.5
s143	1	1	0.5
s144	1	1	0.5
s145	1	1	0.5
s146	1	1	0.5
s147	1	1	0.5
s148	1	1	0.5
s149	1	1	0.5
s150	1	1	0.5
s151	14.3627906976744	43.8232558139535	0.5
s152	1	1	0.5
s153	1	1	0.5
s154	1	1	0.5
s155	1	1	0.5
s156	4.42857142857143	10.7142857142857	0.5
s157	1	1	0.5
s158	3.85	5	0.5
s159	1	1	0.5
s160	1	1	0.5
s161	2	3	0.5
s162	1	1	0.5
s163	1	1	0.5
s164	1	1	0.5
s165	1	1	0.5
s166	3.5	10.5	0.5
s167	1	1	0.5
s168	3	2	0.5
s169	3.66666666666667	7.33333333333333	0.5
s170	3.93333333333333	7.26666666666667	0.5
s171	1	1	0.5
s172	1	1	0.5
s173	1	1	0.5
s174	1	1	0.5
s175	1	1	0.5
s176	1	1	0.5
s177	1	1	0.5
s178	1	1	0.5
s179	6.48275862068965	8.03448275862069	0.5
s180	4	2	0.5
s181	6.75	10.75	0.5
s182	1	1	0.5
s183	6.5	8	0.5
s184	1	1	0.5
s185	6.75	5.25	0.5
s186	1	1	0.5
s187	1	1	0.5
s188	7.32450331125828	16.2781456953642	0.5
s189	1	1	0.5
s190	1	1	0.5
s191	1	1	0.5
s192	1	1	0.5
s193	1	1	0.5
s194	1	1	0.5
s195	1	1	0.5
s196	1	1	0.5
s197	5.63636363636364	6.54545454545455	0.5
s198	4.5	7	0.5
s199	1	1	0.5
s200	6.56756756756757	7.7027027027027	0.5
s201	1	1	0.5
s202	7.42857142857143	8.85714285714286	0.5
s203	1	1	0.5
s204	4.75	4.75	0.5
s205	3.625	5.25	0.5
s206	1	1	0.5
s207	1	1	0.5
s208	1	1	0.5
s209	1	1	0.5
s210	1	1	0.5
s211	1	1	0.5
s212	7.55882352941176	10.7058823529412	0.5
s213	1	1	0.5
s214	6	5	0.5
s215	1	1	0.5
s216	1	1	0.5
s217	1	1	0.5
s218	3	3	0.5
s219	3	4	0.5
s220	1	1	0.5
s221	5	4	0.5
s222	1	1	0.5
s223	1	1	0.5
s224	1	1	0.5
s225	1	1	0.5
s226	6.30851063829787	6.46808510638298	0.5
s227	1	1	0.5
s228	1	1	0.5
s229	1	1	0.5
s230	5	6.25	0.5
s231	1	1	0.5
s232	4.56470588235294	4.78823529411765	0.5
s233	1	1	0.5
s234	4.5	4.625	0.5
s235	1	1	0.5
s236	1	1	0.5
s237	1	1	0.5
s238	1	1	0.5
s239	1	1	0.5
s240	1	1	0.5
s241	1	1	0.5
s242	4	12.3333333333333	0.5
s243	7	33	0.5
s244	3.5	8.78571428571428	0.5
s245	4	3	0.5
s246	1	1	0.5
s247	1	1	0.5
s248	1	1	0.5
s249	1	1	0.5
s250	1	1	0.5
s251	1	1	0.5
s252	3	3	0.5
s253	1	1	0.5
s254	1	1	0.5
s255	1	1	0.5
s256	1	1	0.5
s257	3	14	0.5
s258	3	4	0.5
s259	3	3	0.5
s260	1	1	0.5
s261	3	5	0.5
s262	3.42857142857143	9.57142857142857	0.5
s263	1	1	0.5
s264	4	5	0.5
s265	7.61538461538461	7.38461538461539	0.5
s266	1	1	0.5
s267	1	1	0.5
s268	1	1	0.5
s269	77.2074829931973	77.9523809523809	0.5
s270	1	1	0.5
s271	14	36	0.5
s272	8.77272727272727	16.3863636363636	0.5
s273	6.90909090909091	10.6909090909091	0.5
s274	1	1	0.5
s275	2.6	21	0.5
s276	1	1	0.5
s277	5	3	0.5
s278	1	1	0.5
s279	5.92156862745098	11.4117647058824	0.5
s280	4.85714285714286	7.25210084033613	0.5
s281	1	1	0.5
s282	1	1	0.5
s283	1	1	0.5
s284	4.5	3	0.5
s285	1	1	0.5
s286	8.75	13.75	0.5
s287	1	1	0.5
s288	1	1	0.5
s289	18.7175572519084	20.824427480916	0.5
s290	1	1	0.5
s291	1	1	0.5
s292	1	1	0.5
s293	1	1	0.5
s294	2.5	5	0.5
s295	1	1	0.5
s296	6.42857142857143	7.14285714285714	0.5
s297	1	1	0.5
s298	1	1	0.5
s299	1	1	0.5
s300	1	1	0.5
s301	1	1	0.5
s302	1	1	0.5
s303	1	1	0.5
s304	1	1	0.5
s305	1	1	0.5
s306	1	1	0.5
s307	1	1	0.5
s308	1	1	0.5
s309	1	1	0.5
s310	8	7	0.5
s311	1	1	0.5
s312	2.5	5.5	0.5
s313	1	1	0.5
s314	1	1	0.5
s315	6.2	4.2	0.5
s316	1	1	0.5
s317	1	1	0.5
s318	1	1	0.5
s319	18.1421568627451	20.8921568627451	0.5
s320	12.9227053140097	30.7729468599034	0.5
s321	9.21875	13.375	0.5
s322	1	1	0.5
s323	1	1	0.5
s324	5.0625	5.3125	0.5
s325	2	3	0.5
s326	1	1	0.5
s327	8	3.66666666666667	0.5
s328	1	1	0.5
s329	1	1	0.5
s330	1	1	0.5
s331	1	1	0.5
s332	1	1	0.5
s333	1	1	0.5
s334	1	1	0.5
s335	1	1	0.5
s336	3.5	9	0.5
s337	1	1	0.5
s338	1	1	0.5
s339	1	1	0.5
s340	1	1	0.5
s341	2	2	0.5
s342	1	1	0.5
s343	5.98360655737705	19.2950819672131	0.5
s344	1	1	0.5
s345	4	17	0.5
s346	10	2.5	0.5
s347	1	1	0.5
s348	1	1	0.5
s349	1	1	0.5
s350	10.875	5.125	0.5
s351	4.66666666666667	21.3333333333333	0.5
s352	1	1	0.5
s353	5	2	0.5
s354	24.67578125	52.80859375	0.5
s355	4.68571428571429	6.8	0.5
s356	1	1	0.5
s357	1	1	0.5
s358	1	1	0.5
s359	1	1	0.5
s360	4.97872340425532	6.57446808510638	0.5
s361	1	1	0.5
s362	3	3.33333333333333	0.5
