ID	alpha	beta	delta0
s0	1	1	0.5
s1	1	1	0.5
s2	1	1	0.5
s3	2	2	0.5
s4	1	1	0.5
s5	1	1	0.5
s6	1	1	0.5
s7	2	2	0.5
s8	1	1	0.5
s9	1	1	0.5
s10	2.33554817275748	2.80398671096346	0.5
s11	1	1	0.5
s12	1	1	0.5
s13	1	1	0.5
s14	1	1	0.5
s15	1	1	0.5
s16	1	1	0.5
s17	1	1	0.5
s18	2	2.16666666666667	0.5
s19	1	1	0.5
s20	1	1	0.5
s21	1	1	0.5
s22	1	1	0.5
s23	2.33333333333333	2.11111111111111	0.5
s24	2	2	0.5
s25	1	1	0.5
s26	1	1	0.5
s27	1	1	0.5
s28	1	1	0.5
s29	1	1	0.5
s30	1	1	0.5
s31	2	2	0.5
s32	1	1	0.5
s33	1	1	0.5
s34	2.5	2	0.5
s35	1	1	0.5
s36	1	1	0.5
s37	1	1	0.5
s38	2	2	0.5
s39	2.19230769230769	2.38461538461538	0.5
s40	1	1	0.5
s41	2	2.16666666666667	0.5
s42	1	1	0.5
s43	1	1	0.5
s44	1	1	0.5
s45	1	1	0.5
s46	1	1	0.5
s47	1	1	0.5
s48	1	1	0.5
s49	1	1	0.5
s50	1	1	0.5
s51	2.375	2.375	0.5
s52	2.28571428571429	2.14285714285714	0.5
s53	1	1	0.5
s54	3	2	0.5
s55	2.1	2.15	0.5
s56	1	1	0.5
s57	1	1	0.5
s58	1	1	0.5
s59	1	1	0.5
s60	1	1	0.5
s61	2.2	2.26666666666667	0.5
s62	1	1	0.5
s63	1	1	0.5
s64	1	1	0.5
s65	1	1	0.5
s66	1	1	0.5
s67	1	1	0.5
s68	1	1	0.5
s69	1	1	0.5
s70	1	1	0.5
s71	1	1	0.5
s72	1	1	0.5
s73	2	2	0.5
s74	1	1	0.5
s75	2	2.5	0.5
s76	2	2	0.5
s77	2.33333333333333	2.33333333333333	0.5
s78	2	2	0.5
s79	1	1	0.5
s80	1	1	0.5
s81	2.0625	2.5625	0.5
s82	1	1	0.5
s83	2	3	0.5
s84	1	1	0.5
s85	1	1	0.5
s86	1	1	0.5
s87	1	1	0.5
s88	1	1	0.5
s89	1	1	0.5
s90	1	1	0.5
s91	2.55555555555556	3.11111111111111	0.5
s92	1	1	0.5
