ID alpha beta delta0
s0 13 11.8 0.5
s1 11 3 0.5
s2 9 4.42857142857143 0.5
s3 4.28571428571429 7.28571428571429 0.5
s4 1 1 0.5
s5 1 1 0.5
s6 14.3170731707317 20.1219512195122 0.5
s7 11.2377622377622 17.1608391608392 0.5
s8 4 44.5 0.5
s9 1 1 0.5
s10 1 1 0.5
s11 1 1 0.5
s12 5.4 4 0.5
s13 1 1 0.5
s14 2 3 0.5
s15 1 1 0.5
s16 6 3 0.5
s17 1 1 0.5
s18 1 1 0.5
s19 1 1 0.5
s20 2.5 7 0.5
s21 1 1 0.5
s22 7 4 0.5
s23 1 1 0.5
s24 15.8518518518519 11.8518518518519 0.5
s25 1 1 0.5
s26 3.57142857142857 4.85714285714286 0.5
s27 3.4 2.4 0.5
s28 1 1 0.5
s29 1 1 0.5
s30 1 1 0.5
s31 1 1 0.5
s32 5.5 19.5 0.5
s33 1 1 0.5
s34 1 1 0.5
s35 1 1 0.5
s36 1 1 0.5
s37 1 1 0.5
s38 1 1 0.5
s39 1 1 0.5
s40 1 1 0.5
s41 1 1 0.5
s42 1 1 0.5
s43 1 1 0.5
s44 3 2 0.5
s45 1 1 0.5
s46 1 1 0.5
s47 1 1 0.5
s48 10 2 0.5
s49 3 3 0.5
s50 1 1 0.5
s51 1 1 0.5
s52 72.1466666666667 97.3333333333333 0.5
s53 9.33333333333333 9.33333333333333 0.5
s54 1 1 0.5
s55 2 3 0.5
s56 1 1 0.5
s57 1 1 0.5
s58 1 1 0.5
s59 1 1 0.5
s60 1 1 0.5
s61 1 1 0.5
s62 6 4.66666666666667 0.5
s63 1 1 0.5
s64 1 1 0.5
s65 1 1 0.5
s66 1 1 0.5
